time,seaice_extent
1985-01-01,185581.97824778527
1985-01-02,179069.18250336125
1985-01-03,173224.7596881612
1985-01-04,148426.41786068096
1985-01-05,172574.31133335273
1985-01-06,177871.5993418509
1985-01-07,187855.13890666634
1985-01-08,197950.46219457965
1985-01-09,181400.00232939082
1985-01-10,164312.2514763127
1985-01-11,170793.2084450746
1985-01-12,171367.03317941094
1985-01-13,176083.25744697137
1985-01-14,187811.12593483605
1985-01-15,183734.99426396805
1985-01-16,186079.3095461155
1985-01-17,187272.5850729774
1985-01-18,188463.427492034
1985-01-19,186700.45852548516
1985-01-20,190779.09567346677
1985-01-21,175547.12777941735
1985-01-22,164946.6084534356
1985-01-23,176116.37731373278
1985-01-24,179050.06734069245
1985-01-25,187870.73338568423
1985-01-26,186108.7874139873
1985-01-27,183761.2658658283
1985-01-28,169034.76604460945
1985-01-29,167857.93349294818
1985-01-30,161274.81521595473
1985-01-31,153662.8617818288
1985-02-01,119196.7315595904
1985-02-02,118686.99791126458
1985-02-03,97465.45380511742
1985-02-04,116403.67824968921
1985-02-05,123491.25332649288
1985-02-06,127715.97987734897
1985-02-07,110654.24473855628
1985-02-08,151946.9238040345
1985-02-09,158451.03327327862
1985-02-10,181376.4622238977
1985-02-11,191944.89133697204
1985-02-12,198938.80181016945
1985-02-13,196556.16573769046
1985-02-14,210723.76821596923
1985-02-15,214840.54743528753
1985-02-16,233592.79101263592
1985-02-17,248192.96022544085
1985-02-18,248768.49088147585
1985-02-19,249356.127424454
1985-02-20,262813.2554466131
1985-02-21,268650.50767373684
1985-02-22,270994.4529951284
1985-02-23,279716.9046834472
1985-02-24,279131.93500349
1985-02-25,278542.38245999697
1985-02-26,281460.3807337426
1985-02-27,284376.567288999
1985-02-28,282036.4766930074
1985-03-01,276196.983781168
1985-03-02,270384.59471514355
1985-03-03,266277.9030901329
1985-03-04,263354.9441159635
1985-03-05,255164.81759533097
1985-03-06,255175.58766230918
1985-03-07,250522.32708941912
1985-03-08,258146.44806178322
1985-03-09,263398.11678384716
1985-03-10,276203.39391178393
1985-03-11,280855.14350219344
1985-03-12,284954.92123978026
1985-03-13,288471.07674839493
1985-03-14,293715.2029192943
1985-03-15,293715.2029192943
1985-03-16,296625.95083254366
1985-03-17,300693.62241097196
1985-03-18,301275.9653333595
1985-03-19,308250.6066109294
1985-03-20,309990.79126250476
1985-03-21,310570.89037645765
1985-03-22,309410.72738114797
1985-03-23,309410.72738114797
1985-03-24,309410.72738114797
1985-03-25,308831.5081276133
1985-03-26,309411.5720089701
1985-03-27,309411.5720089701
1985-03-28,309411.5720089701
1985-03-29,309990.8352083413
1985-03-30,311150.15357582894
1985-03-31,311150.15357582894
1985-04-01,311150.15357582894
1985-04-02,309991.732638759
1985-04-03,309990.79126250476
1985-04-04,310570.054461876
1985-04-05,309990.79126250476
1985-04-06,301861.68275904097
1985-04-07,305350.9809651562
1985-04-08,307671.4930041659
1985-04-09,307670.63970343093
1985-04-10,305929.1872999821
1985-04-11,305929.08139411994
1985-04-12,305929.86424876744
1985-04-13,306508.8947599588
1985-04-14,308248.12913694093
1985-04-15,309410.72738114797
1985-04-16,308832.44950386754
1985-04-17,308252.35038991465
1985-04-18,306506.433485493
1985-04-19,308832.4142712715
1985-04-20,310570.89037645765
1985-04-21,310570.89037645765
1985-04-22,311150.15357582894
1985-04-23,311729.44314508396
1985-04-24,311729.44314508396
1985-04-25,311150.15357582894
1985-04-26,311150.15357582894
1985-04-27,311150.15357582894
1985-04-28,310570.89037645765
1985-04-29,310570.89037645765
1985-04-30,310570.89037645765
1985-05-01,310570.89037645765
1985-05-02,311149.37926372717
1985-05-03,311729.44314508396
1985-05-04,311729.44314508396
1985-05-05,311729.44314508396
1985-05-06,311729.44314508396
1985-05-07,311729.44314508396
1985-05-08,311729.44314508396
1985-05-09,311729.44314508396
1985-05-10,308824.4290555625
1985-05-11,310570.89037645765
1985-05-12,311150.15357582894
1985-05-13,311150.15357582894
1985-05-14,309380.09705715574
1985-05-15,306490.6954217833
1985-05-16,300046.79410518514
1985-05-17,306450.53341659106
1985-05-18,308187.80530052783
1985-05-19,307028.4429872036
1985-05-20,304057.0192036266
1985-05-21,294736.963482849
1985-05-22,276055.8834432112
1985-05-23,274868.6295770219
1985-05-24,274218.89856443263
1985-05-25,268970.61226660816
1985-05-26,251368.47596284156
1985-05-27,257889.08595803357
1985-05-28,247929.79060946422
1985-05-29,246191.0051995339
1985-05-30,242618.50148745548
1985-05-31,210236.0009935506
1985-06-01,180737.6775348244
1985-06-02,176059.2001764173
1985-06-03,174833.54636281665
1985-06-04,176079.70562360383
1985-06-05,150173.63873788062
1985-06-06,145018.53250496092
1985-06-07,129627.09416999783
1985-06-08,128485.78922313979
1985-06-09,127931.02598657452
1985-06-10,123819.82316300244
1985-06-11,112007.73992034284
1985-06-12,110116.32716107515
1985-06-13,87972.42223606436
1985-06-14,67561.71443676026
1985-06-15,66957.7653695675
1985-06-16,61557.994137011876
1985-06-17,34019.27276654329
1985-06-18,23349.67118437214
1985-06-19,26375.31277800373
1985-06-20,25176.92059684781
1985-06-21,21555.65107376724
1985-06-22,17955.241172089853
1985-06-23,7763.518135207092
1985-06-24,18006.77208494179
1985-06-25,18613.358366061686
1985-06-26,17409.41411776989
1985-06-27,8987.363709247395
1985-06-28,14398.063118981803
1985-06-29,13196.669502930805
1985-06-30,26993.797234944883
1985-07-01,24592.243104897436
1985-07-02,20380.805100880694
1985-07-03,8953.206567729187
1985-07-04,6595.483138866339
1985-07-05,6595.483138866339
