year,month,seaice_extent
2002,6,0.0
2002,7,0.0
2002,8,0.0
2002,9,0.0
2002,10,0.0
2002,11,0.01
2002,12,0.11
2003,1,0.25
2003,2,0.31
2003,3,0.31
2003,4,0.27
2003,5,0.02
2003,6,0.0
2003,7,0.0
2003,8,0.0
2003,9,0.0
2003,10,0.0
2003,11,0.02
2003,12,0.18
2004,1,0.25
2004,2,0.3
2004,3,0.31
2004,4,0.31
2004,5,0.04
2004,6,0.0
2004,7,0.0
2004,8,0.0
2004,9,0.0
2004,10,0.0
2004,11,0.04
2004,12,0.19
2005,1,0.23
2005,2,0.3
2005,3,0.31
2005,4,0.31
2005,5,0.17
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.15
2005,12,0.29
2006,1,0.31
2006,2,0.31
2006,3,0.29
2006,4,0.31
2006,5,0.3
2006,6,0.03
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.04
2006,12,0.2
2007,1,0.29
2007,2,0.3
2007,3,0.3
2007,4,0.31
2007,5,0.23
2007,6,0.0
2007,7,0.0
2007,8,0.0
2007,9,0.0
2007,10,0.0
2007,11,0.03
2007,12,0.18
2008,1,0.29
2008,2,0.31
2008,3,0.31
2008,4,0.31
2008,5,0.31
2008,6,0.0
2008,7,0.0
2008,8,0.0
2008,9,0.0
2008,10,0.0
2008,11,0.09
2008,12,0.23
2009,1,0.31
2009,2,0.31
2009,3,0.31
2009,4,0.31
2009,5,0.29
2009,6,0.0
2009,7,0.0
2009,8,0.0
2009,9,0.0
2009,10,0.0
2009,11,0.12
2009,12,0.24
2010,1,0.29
2010,2,0.31
2010,3,0.31
2010,4,0.31
2010,5,0.28
2010,6,0.01
2010,7,0.0
2010,8,0.0
2010,9,0.0
2010,10,0.0
2010,11,0.02
2010,12,0.15
2011,1,0.29
2011,2,0.29
2011,3,0.28
2011,4,0.3
2011,5,0.23
2011,6,0.0
2011,7,0.0
2011,8,0.0
2011,9,0.0
2011,10,0.0
2011,11,0.11
2011,12,0.24
2012,1,0.3
2012,2,0.31
