time,seaice_extent
1991-08-01,4536.815603792352
1991-08-02,4536.815603792352
1991-08-03,4536.815603792352
1991-08-04,4536.815603792352
1991-08-05,4536.815603792352
1991-08-06,3966.6732650179456
1991-08-07,4536.815603792352
1991-08-08,4536.815603792352
1991-08-09,3966.6732650179456
1991-08-10,4536.815603792352
1991-08-11,4536.815603792352
1991-08-12,4536.815603792352
1991-08-13,4536.815603792352
1991-08-14,4536.815603792352
1991-08-15,4536.815603792352
1991-08-16,4536.815603792352
1991-08-17,4536.815603792352
1991-08-18,4536.815603792352
1991-08-19,4536.815603792352
1991-08-20,4536.815603792352
1991-08-21,4536.815603792352
1991-08-22,4536.815603792352
1991-08-23,4536.815603792352
1991-08-24,3966.6732650179456
1991-08-25,4536.815603792352
1991-08-26,4536.815603792352
1991-08-27,4536.815603792352
1991-08-28,4536.815603792352
1991-08-29,4536.815603792352
1991-08-30,4536.815603792352
1991-08-31,4536.815603792352
1991-09-01,3966.6732650179456
1991-09-02,3966.6732650179456
1991-09-03,3966.6732650179456
1991-09-04,3966.6732650179456
1991-09-05,3966.6732650179456
1991-09-06,3966.6732650179456
1991-09-07,3966.6732650179456
1991-09-08,3966.6732650179456
1991-09-09,3966.6732650179456
1991-09-10,3966.6732650179456
1991-09-11,3966.6732650179456
1991-09-12,3966.6732650179456
1991-09-13,3966.6732650179456
1991-09-14,3966.6732650179456
1991-09-15,3966.6732650179456
1991-09-16,3966.6732650179456
1991-09-17,3966.6732650179456
1991-09-18,3966.6732650179456
1991-09-19,3966.6732650179456
1991-09-20,3966.6732650179456
1991-09-21,3966.6732650179456
1991-09-22,3966.6732650179456
1991-09-23,3966.6732650179456
1991-09-24,3966.6732650179456
1991-09-25,3966.6732650179456
1991-09-26,3966.6732650179456
1991-09-27,3966.6732650179456
1991-09-28,3966.6732650179456
1991-09-29,3966.6732650179456
1991-09-30,3966.6732650179456
1991-10-01,13715.990086243317
1991-10-02,13136.10779003935
1991-10-03,5675.962516182421
1991-10-04,5108.10946616875
1991-10-05,3966.6732650179456
1991-10-06,4537.75245543716
1991-10-07,4544.725378274536
1991-10-08,5674.996492046492
1991-10-09,6263.783520734515
1991-10-10,6253.592966166493
1991-10-11,3966.6732650179456
1991-10-12,5113.341430243668
1991-10-13,4535.8467852777285
1991-10-14,7415.929099148696
1991-10-15,5115.80456869375
1991-10-16,14854.819635191701
1991-10-17,5677.403771847084
1991-10-18,9106.269589250813
1991-10-19,10282.3201644576
1991-10-20,9706.731189651095
1991-10-21,5115.80456869375
1991-10-22,5113.8988985343185
1991-10-23,5115.80456869375
1991-10-24,4537.75245543716
1991-10-25,4537.75245543716
1991-10-26,10263.17193312417
1991-10-27,10819.800732155083
1991-10-28,9110.785536126776
1991-10-29,6258.706868226624
1991-10-30,5113.977550554829
