year,month,seaice_extent
2010,10,0.21
2010,11,0.46
2010,12,0.51
2011,1,0.51
2011,2,0.51
2011,3,0.51
2011,4,0.51
2011,5,0.51
2011,6,0.39
2011,7,0.27
2011,8,0.07
2011,9,0.01
2011,10,0.14
2011,11,0.49
2011,12,0.51
2012,1,0.51
2012,2,0.51
2012,3,0.51
2012,4,0.51
2012,5,0.51
2012,6,0.49
2012,7,0.32
2012,8,0.03
2012,9,0.01
2012,10,0.01
2012,11,0.51
2012,12,0.51
2013,1,0.51
2013,2,0.51
2013,3,0.51
2013,4,0.51
2013,5,0.51
2013,6,0.49
2013,7,0.39
2013,8,0.06
2013,9,0.11
2013,10,0.26
2013,11,0.47
2013,12,0.51
2014,1,0.51
2014,2,0.51
2014,3,0.51
2014,4,0.51
2014,5,0.51
2014,6,0.44
2014,7,0.36
2014,8,0.15
2014,9,0.04
2014,10,0.24
2014,11,0.41
2014,12,0.51
2015,1,0.51
2015,2,0.51
2015,3,0.51
2015,4,0.51
2015,5,0.51
2015,6,0.41
2015,7,0.32
2015,8,0.17
2015,9,0.01
2015,10,0.28
2015,11,0.42
2015,12,0.51
2016,1,0.51
2016,2,0.51
2016,3,0.51
2016,4,0.51
2016,5,0.49
2016,6,0.38
2016,7,0.27
2016,8,0.04
2016,9,0.01
2016,10,0.01
2016,11,0.37
2016,12,0.51
2017,1,0.51
2017,2,0.51
2017,3,0.51
2017,4,0.51
2017,5,0.5
2017,6,0.37
2017,7,0.21
2017,8,0.01
2017,9,0.01
2017,10,0.1
2017,11,0.29
2017,12,0.49
2018,1,0.51
2018,2,0.51
2018,3,0.51
2018,4,0.51
2018,5,0.43
2018,6,0.4
2018,7,0.36
2018,8,0.15
2018,9,0.02
2018,10,0.26
2018,11,0.36
2018,12,0.51
2019,1,0.51
2019,2,0.51
2019,3,0.51
2019,4,0.51
2019,5,0.42
2019,6,0.27
2019,7,0.09
2019,8,0.01
2019,9,0.01
2019,10,0.04
2019,11,0.3
2019,12,0.51
2020,1,0.51
2020,2,0.51
2020,3,0.51
2020,4,0.51
2020,5,0.51
2020,6,0.41
2020,7,0.33
2020,8,0.16
2020,9,0.08
2020,10,0.24
2020,11,0.33
2020,12,0.51
2021,1,0.51
2021,2,0.51
2021,3,0.51
2021,4,0.51
2021,5,0.51
2021,6,0.45
2021,7,0.39
2021,8,0.17
2021,9,0.07
2021,10,0.31
2021,11,0.51
2021,12,0.51
2022,1,0.51
2022,2,0.51
2022,3,0.51
2022,4,0.51
2022,5,0.51
2022,6,0.44
2022,7,0.33
2022,8,0.14
2022,9,0.04
2022,10,0.18
2022,11,0.32
2022,12,0.51
2023,1,0.51
2023,2,0.51
2023,3,0.51
2023,4,0.51
2023,5,0.51
2023,6,0.48
2023,7,0.36
2023,8,0.01
2023,9,0.01
2023,10,0.02
2023,11,0.39
2023,12,0.51
2024,1,0.51
2024,2,0.51
2024,3,0.51
2024,4,0.51
