date,seaice_extent
2023-09-01,2372.4566116584947
2023-09-02,1772.449150617811
2023-09-03,1171.9226769228019
2023-09-04,2372.4566116584947
2023-09-05,1772.449150617811
2023-09-06,2372.4566116584947
2023-09-07,4780.747502143146
2023-09-08,2372.4566116584947
2023-09-09,2372.4566116584947
2023-09-10,2372.4566116584947
2023-09-11,2372.4566116584947
2023-09-12,2372.4566116584947
2023-09-13,2372.4566116584947
2023-09-14,2372.4566116584947
2023-09-15,2372.4566116584947
2023-09-16,2372.4566116584947
2023-09-17,2372.4566116584947
2023-09-18,1171.9226769228019
2023-09-19,1171.9226769228019
2023-09-20,2372.4566116584947
2023-09-21,2372.4566116584947
2023-09-22,2372.4566116584947
2023-09-23,2372.4566116584947
2023-09-24,1171.9226769228019
2023-09-25,2372.4566116584947
2023-09-26,2372.4566116584947
2023-09-27,1171.9226769228019
2023-09-28,2372.4566116584947
2023-09-29,2372.4566116584947
2023-09-30,2372.4566116584947
2023-10-01,2935.4451309998053
2023-10-02,1171.9226769228019
2023-10-03,1777.911146618305
2023-10-04,1777.911146618305
2023-10-05,4742.504949079994
2023-10-06,11309.442015532755
2023-10-07,11975.034389891023
2023-10-08,2356.4103958072624
2023-10-09,1774.4573263671437
2023-10-10,1777.911146618305
2023-10-11,1777.911146618305
2023-10-12,1765.9361518410892
2023-10-13,3573.939136356491
2023-10-14,1777.911146618305
2023-10-15,2380.445796062647
2023-10-16,3561.084229636619
2023-10-17,2329.614596890046
2023-10-18,1171.9226769228019
2023-10-19,2371.6509716850223
2023-10-20,1777.911146618305
2023-10-21,1765.9361518410892
2023-10-22,2982.049494444076
2023-10-23,3535.2387760451065
2023-10-24,1770.7093884495907
2023-10-25,2955.355042919795
2023-10-26,1777.911146618305
2023-10-27,1171.9226769228019
2023-10-28,1774.4573263671437
2023-10-29,1171.9226769228019
2023-10-30,2982.049494444076
2023-10-31,1777.911146618305
2023-11-01,1171.9226769228019
2023-11-02,1171.9226769228019
2023-11-03,1777.911146618305
2023-11-04,3581.7791874781497
2023-11-05,1774.4573263671437
2023-11-06,4736.099514436415
2023-11-07,1774.4573263671437
2023-11-08,4760.63838480173
