month,ext_baseline,ext_std
1,0.28,0.03
2,0.29,0.03
3,0.3,0.01
4,0.3,0.01
5,0.2,0.08
6,0.02,0.03
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.08,0.05
12,0.22,0.06
