month,ext_baseline,ext_std
1,0.43,0.13
2,0.48,0.1
3,0.51,0.09
4,0.47,0.11
5,0.24,0.11
6,0.03,0.03
7,0.01,0.0
8,0.01,0.0
9,0.01,0.0
10,0.01,0.0
11,0.1,0.06
12,0.3,0.12
