date,seaice_extent
2023-09-01,3966.6732650179456
2023-09-02,3966.6732650179456
2023-09-03,3966.6732650179456
2023-09-04,3966.6732650179456
2023-09-05,3966.6732650179456
2023-09-06,3966.6732650179456
2023-09-07,3966.6732650179456
2023-09-08,3966.6732650179456
2023-09-09,3966.6732650179456
2023-09-10,3966.6732650179456
2023-09-11,3966.6732650179456
2023-09-12,3966.6732650179456
2023-09-13,3966.6732650179456
2023-09-14,3966.6732650179456
2023-09-15,3966.6732650179456
2023-09-16,3966.6732650179456
2023-09-17,3966.6732650179456
2023-09-18,3966.6732650179456
2023-09-19,3966.6732650179456
2023-09-20,3966.6732650179456
2023-09-21,3966.6732650179456
2023-09-22,3966.6732650179456
2023-09-23,3966.6732650179456
2023-09-24,3966.6732650179456
2023-09-25,3966.6732650179456
2023-09-26,3966.6732650179456
2023-09-27,3966.6732650179456
2023-09-28,3966.6732650179456
2023-09-29,3966.6732650179456
2023-09-30,3966.6732650179456
2023-10-01,11413.977366481911
2023-10-02,7405.79552196869
2023-10-03,5110.271456365107
2023-10-04,4537.75245543716
2023-10-05,14805.885389447016
2023-10-06,10246.838553978188
2023-10-07,5106.788995922638
2023-10-08,6261.092492170232
2023-10-09,4537.75245543716
2023-10-10,4537.75245543716
2023-10-11,4537.75245543716
2023-10-12,5115.830856567087
2023-10-13,5685.004376826869
2023-10-14,11970.473418423875
2023-10-15,5675.962516182421
2023-10-16,9676.976623339408
2023-10-17,12561.69120285838
2023-10-18,7396.891196271648
2023-10-19,5106.788995922638
2023-10-20,5683.989206547742
2023-10-21,5106.925975696943
2023-10-22,4537.75245543716
2023-10-23,5683.151070814611
2023-10-24,5115.830856567087
2023-10-25,4537.75245543716
2023-10-26,5106.788995922638
2023-10-27,4537.75245543716
2023-10-28,5108.367231361606
2023-10-29,3966.6732650179456
2023-10-30,3966.6732650179456
2023-10-31,3966.6732650179456
2023-11-01,5108.823592860319
2023-11-02,3966.6732650179456
2023-11-03,4538.208816935873
2023-11-04,7978.959770021819
2023-11-05,10234.406033062238
2023-11-06,5678.339211894079
2023-11-07,4538.208816935873
2023-11-08,6823.21191810581
2023-11-09,4538.208816935873
2023-11-10,4538.208816935873
2023-11-11,7403.628582486863
2023-11-12,9104.61072735751
2023-11-13,11458.048901933042
2023-11-14,5116.287218065799
2023-11-15,8554.762581269064
2023-11-16,15401.912416354815
2023-11-17,7991.604242686753
2023-11-18,5116.287218065799
2023-11-19,7421.451643477409
2023-11-20,6263.2554013224435
2023-11-21,5691.691715255924
2023-11-22,15449.427392987654
2023-11-23,6256.376661097154
2023-11-24,6263.591503602682
2023-11-25,5678.324547840564
2023-11-26,7400.221873870269
2023-11-27,7978.707846461108
2023-11-28,7966.912033594579
2023-11-29,5110.158145948326
2023-11-30,6268.188365960887
2023-12-01,9150.878228139052
2023-12-02,10877.348976604939
2023-12-03,10872.503695984751
2023-12-04,12589.71793911985
2023-12-05,18900.099672276934
2023-12-06,13177.43478079823
2023-12-07,20077.94042933375
2023-12-08,17785.0661457306
2023-12-09,17786.0952049926
2023-12-10,25215.2869443292
2023-12-11,40680.91127645151
2023-12-12,41800.565017552784
2023-12-13,53170.53096198375
2023-12-14,48637.603748506546
2023-12-15,47540.215057532696
2023-12-16,37262.508621090834
2023-12-17,43579.22029745548
2023-12-18,44713.49671041713
2023-12-19,42427.15014156273
2023-12-20,35559.40212798719
2023-12-21,45878.413792168765
2023-12-22,60111.5966173311
2023-12-23,69222.16866958179
2023-12-24,83550.3733621977
2023-12-25,87007.14508207615
2023-12-26,84072.30290961225
2023-12-27,74979.69909402414
2023-12-28,75544.37274663425
2023-12-29,80682.52652561874
2023-12-30,77861.18363478142
2023-12-31,72729.56862696065
2024-01-01,73855.082477686
2024-01-02,72717.16941578104
2024-01-03,75606.35095488094
2024-01-04,62549.54985503947
2024-01-05,54546.55044799554
2024-01-06,57392.464666471235
2024-01-07,37931.300395387385
2024-01-08,21261.64875701021
2024-01-09,29853.241969776675
2024-01-10,35034.47478504012
2024-01-11,8575.621901832765
2024-01-12,30975.73837335554
2024-01-13,10876.361309335214
2024-01-14,18920.638575662902
2024-01-15,13188.015490464863
2024-01-16,13185.190218368982
2024-01-17,16625.180668604546
2024-01-18,25275.403095182373
2024-01-19,39593.61915157823
2024-01-20,53901.95231031417
2024-01-21,80744.00296893742
2024-01-22,105500.21318415733
2024-01-23,109281.19485342418
2024-01-24,108109.81148118038
2024-01-25,102414.39117229072
2024-01-26,125187.32564673938
2024-01-27,131461.9081906389
2024-01-28,146884.62361291496
