year,month,seaice_extent
1995,5,0.25
1995,6,0.01
1995,7,0.01
1995,8,0.01
1995,9,0.01
1995,10,0.01
1995,11,0.08
1995,12,0.29
1996,1,0.39
1996,2,0.45
1996,3,0.38
1996,4,0.36
1996,5,0.07
1996,6,0.01
1996,7,0.01
1996,8,0.01
1996,9,0.01
1996,10,0.01
1996,11,0.07
1996,12,0.29
1997,1,0.44
1997,2,0.54
1997,3,0.6
1997,4,0.53
1997,5,0.22
1997,6,0.01
1997,7,0.01
1997,8,0.01
1997,9,0.01
1997,10,0.01
1997,11,0.06
1997,12,0.34
1998,1,0.54
1998,2,0.63
1998,3,0.53
1998,4,0.39
1998,5,0.26
1998,6,0.03
1998,7,0.01
1998,8,0.01
1998,9,0.01
1998,10,0.01
1998,11,0.03
1998,12,0.25
1999,1,0.42
1999,2,0.54
1999,3,0.59
1999,4,0.6
1999,5,0.42
1999,6,0.08
1999,7,0.01
1999,8,0.01
1999,9,0.01
1999,10,0.01
1999,11,0.18
1999,12,0.5
2000,1,0.67
2000,2,0.52
2000,3,0.4
2000,4,0.44
2000,5,0.25
2000,6,0.02
2000,7,0.01
2000,8,0.01
2000,9,0.01
2000,10,0.01
2000,11,0.02
2000,12,0.12
2001,1,0.24
2001,2,0.19
2001,3,0.32
2001,4,0.32
2001,5,0.28
2001,6,0.01
2001,7,0.01
2001,8,0.01
2001,9,0.01
2001,10,0.01
2001,11,0.18
2001,12,0.4
2002,1,0.54
2002,2,0.64
2002,3,0.48
2002,4,0.29
2002,5,0.15
2002,6,0.01
2002,7,0.01
2002,8,0.01
2002,9,0.01
2002,10,0.01
2002,11,0.01
2002,12,0.13
2003,1,0.32
2003,2,0.42
2003,3,0.46
2003,4,0.31
2003,5,0.03
2003,6,0.01
2003,7,0.01
2003,8,0.01
2003,9,0.01
2003,10,0.01
2003,11,0.02
2003,12,0.23
2004,1,0.37
2004,2,0.46
2004,3,0.47
2004,4,0.5
2004,5,0.04
2004,6,0.01
2004,7,0.01
2004,8,0.01
2004,9,0.01
2004,10,0.01
2004,11,0.05
2004,12,0.21
2005,1,0.28
2005,2,0.39
2005,3,0.38
2005,4,0.42
2005,5,0.17
2005,6,0.01
2005,7,0.01
2005,8,0.01
2005,9,0.01
2005,10,0.01
2005,11,0.18
2005,12,0.37
2006,1,0.54
2006,2,0.57
2006,3,0.45
2006,4,0.49
2006,5,0.41
2006,6,0.03
2006,7,0.01
2006,8,0.01
2006,9,0.01
2006,10,0.01
2006,11,0.06
